skuId,skuName,category,supplier,unitCost,unitPrice,currentStock,reorderPoint,reorderQty,leadTimeDays,dailySales30dAvg,dailySales90dAvg,lastSaleDate,lastReorderDate,stockoutDaysLast90d,seasonalIndex,marginPct
SKU-007208,Meia Natural 42,APPAREL,Comercial Vitória,38.38,63.14,55,53,53,21,2.05,2.50,2026-03-28,2025-10-25,0,1.22,39.2
SKU-007211,Bermuda Vivace 42,APPAREL,Ponto Forte Atacadista,168.38,395.23,11,6,22,7,0.73,0.77,2026-03-24,2025-12-16,0,0.87,57.4
SKU-007218,Camiseta Aurora GG,APPAREL,Indústria Reunidas,155.88,345.55,11,10,53,7,1.09,1.16,2026-03-28,2026-01-16,0,1.24,54.9
SKU-007255,Tênis Vivace G,APPAREL,TopParts Brasil,61.66,142.09,95,45,216,5,7.26,7.67,2026-03-25,2025-11-08,0,0.81,56.6
SKU-007258,Tênis Fresh 38,APPAREL,Indústria Reunidas,172.36,337.10,400,229,229,30,6.45,5.93,2026-03-25,2026-01-26,0,0.79,48.9
SKU-007276,Bermuda Premium P,APPAREL,MaxiSuprimentos,162.03,354.70,1312,541,1975,14,49.00,27.98,2026-03-24,2026-02-13,0,1.00,54.3
SKU-007281,Bermuda Maxi M,APPAREL,PrimeFood Distribuidora,165.77,248.04,22,17,96,5,2.77,2.42,2026-03-29,2025-11-19,0,1.20,33.2
SKU-007282,Meia TopMark 38,APPAREL,Comercial Vitória,87.13,163.90,148,1,1,3,0.00,0.17,2025-11-27,2026-01-30,0,1.18,46.8
SKU-007292,Bermuda TopMark 42,APPAREL,Atacadão Nordeste,97.80,196.59,14,8,102,3,2.37,2.43,2026-03-24,2026-03-01,0,1.10,50.3
SKU-007293,Camiseta Fresh GG,APPAREL,TopParts Brasil,133.89,317.38,157,1,1,5,0.00,0.00,2025-11-28,,0,0.72,57.8
SKU-007310,Bermuda Silver 42,APPAREL,Ponto Forte Atacadista,51.97,75.37,27,22,50,7,2.46,2.39,2026-03-28,2026-01-02,1,0.92,31.1
SKU-007312,Meia Fresh P,APPAREL,VivaMais Distribuição,136.88,209.68,145,71,549,5,11.57,10.24,2026-03-31,2025-10-25,0,1.12,34.7
SKU-007328,Meia Original 42,APPAREL,GlobalSupply,161.97,300.34,37,21,130,7,2.51,2.04,2026-03-28,2026-03-22,0,1.02,46.1
SKU-007335,Tênis Fresh 40,APPAREL,Comercial Vitória,188.50,268.55,616,169,1096,7,38.84,19.84,2026-03-31,2025-11-29,0,0.92,29.8
SKU-007354,Camiseta Sul P,APPAREL,Aliança Comércio,35.68,99.79,24,12,187,3,3.63,4.22,2026-03-25,2026-01-29,2,1.02,64.2
SKU-007378,Meia Mini GG,APPAREL,Stock Direct,131.83,359.08,139,73,185,7,8.64,8.23,2026-03-26,2025-12-05,0,1.01,63.3
SKU-007395,Bermuda PrimaCare M,APPAREL,MaxiSuprimentos,82.26,123.16,13,7,38,5,1.08,1.16,2026-03-31,2025-11-28,0,1.04,33.2
SKU-007403,Meia TopMark M,APPAREL,Comercial Vitória,98.50,245.70,344,144,371,14,9.21,10.45,2026-03-27,2026-02-15,0,1.24,59.9
SKU-007412,Camiseta Plus 38,APPAREL,TopParts Brasil,156.30,292.55,118,594,704,14,30.83,33.32,2026-03-30,2025-11-20,1,1.07,46.6
SKU-007413,Camiseta Plus P,APPAREL,Comercial Vitória,122.79,241.59,33,14,105,5,2.44,2.08,2026-03-25,2026-01-06,0,1.07,49.2
SKU-007439,Bermuda Vita G,APPAREL,Casa & Lar Atacado,183.03,447.67,46,21,102,7,2.39,2.04,2026-03-29,2026-02-27,0,1.24,59.1
SKU-007460,Meia Original P,APPAREL,Indústria Reunidas,144.78,346.86,39,38,186,7,3.75,2.95,2026-03-25,2026-02-02,0,1.14,58.3
SKU-007467,Tênis Mini 42,APPAREL,VivaMais Distribuição,73.66,198.21,4,1,12,3,0.57,0.69,2026-03-26,2026-01-10,0,1.02,62.8
SKU-007493,Tênis Eco GG,APPAREL,TopParts Brasil,169.94,287.88,654,282,616,21,10.68,11.51,2026-03-24,2026-01-30,0,0.81,41.0
SKU-007505,Camiseta PrimaCare G,APPAREL,Casa & Lar Atacado,19.19,46.90,80,79,356,7,9.74,8.22,2026-03-26,2025-11-28,20,0.72,59.1
SKU-007518,Bermuda Fresh 40,APPAREL,PrimeFood Distribuidora,37.89,59.43,365,216,400,10,14.64,11.88,2026-03-28,2025-10-29,0,0.73,36.2
SKU-007530,Tênis Premium 38,APPAREL,Comercial Vitória,121.68,157.22,164,89,89,30,2.17,1.80,2026-03-25,2025-10-18,0,1.15,22.6
SKU-007531,Meia Pro 38,APPAREL,Stock Direct,41.88,84.68,43,66,678,5,11.44,4.15,2026-03-24,2025-11-14,0,1.34,50.5
SKU-007537,Tênis Vita GG,APPAREL,Comercial Vitória,197.91,345.05,14,11,83,5,1.88,2.19,2026-03-30,2025-12-04,0,0.80,42.6
SKU-007546,Bermuda Natural M,APPAREL,MaxiSuprimentos,79.52,133.38,249,125,853,7,14.37,5.03,2026-03-25,2026-02-04,0,1.83,40.4
SKU-007554,Bermuda Maxi 40,APPAREL,Atacadão Nordeste,157.61,409.88,131,56,475,3,15.05,11.78,2026-03-26,2026-01-20,1,1.05,61.5
SKU-007585,Tênis Plus G,APPAREL,Atacadão Nordeste,43.86,116.61,173,94,438,7,9.15,10.15,2026-03-25,2026-03-13,0,0.89,62.4
SKU-007617,Meia PrimaCare G,APPAREL,Distribuidora Central,76.77,135.51,56,23,101,7,2.79,2.36,2026-03-31,2025-10-27,0,0.71,43.3
SKU-007619,Bermuda Original 40,APPAREL,Stock Direct,118.97,147.95,80,43,70,10,3.01,2.40,2026-03-27,2026-01-16,0,0.87,19.6
SKU-007622,Meia Original M,APPAREL,VivaMais Distribuição,196.61,354.03,45,78,733,3,20.72,7.76,2026-03-28,2025-12-22,10,1.37,44.5
SKU-007632,Tênis Original 42,APPAREL,Casa & Lar Atacado,174.78,231.39,1172,335,1050,21,21.31,11.64,2026-03-30,2026-03-13,0,0.78,24.5
SKU-007634,Bermuda TopMark 42,APPAREL,Indústria Reunidas,182.68,245.73,296,230,232,21,8.41,6.95,2026-03-31,2025-12-19,0,0.78,25.7
SKU-007636,Tênis Silver 40,APPAREL,GlobalSupply,131.98,235.57,70,33,275,3,10.04,11.68,2026-03-28,2026-02-12,1,1.02,44.0
SKU-007641,Meia PrimaCare 40,APPAREL,Aliança Comércio,170.55,290.36,55,1,1,5,0.00,0.08,2026-01-01,2025-12-28,0,1.09,41.3
SKU-007644,Meia Fresh GG,APPAREL,TopParts Brasil,103.42,151.27,22,14,44,10,1.29,1.35,2026-03-26,2026-03-16,0,1.23,31.6
SKU-007651,Meia Natural GG,APPAREL,MaxiSuprimentos,40.59,52.44,188,78,1092,3,23.61,24.03,2026-03-30,2025-11-24,0,0.72,22.6
SKU-007654,Meia Premium G,APPAREL,Indústria Reunidas,188.00,308.42,68,34,126,10,3.08,3.42,2026-03-27,2026-03-11,0,1.07,39.0
SKU-007676,Camiseta Master G,APPAREL,PrimeFood Distribuidora,103.01,247.64,46,25,63,7,2.76,2.96,2026-03-27,2026-03-23,5,0.95,58.4
SKU-007690,Tênis Silver 38,APPAREL,PrimeFood Distribuidora,69.55,131.48,137,99,433,10,8.35,8.09,2026-03-30,2026-01-25,0,0.77,47.1
SKU-007702,Meia Vivace G,APPAREL,TopParts Brasil,45.55,99.78,1096,496,496,30,13.40,5.11,2026-03-26,2026-03-06,0,1.82,54.4
SKU-007715,Meia Pro M,APPAREL,VivaMais Distribuição,77.96,127.75,127,126,420,10,8.82,10.04,2026-03-27,2025-12-04,0,1.22,39.0
SKU-007720,Camiseta Silver 42,APPAREL,VivaMais Distribuição,23.40,31.90,292,165,173,21,6.38,6.95,2026-03-28,2026-02-25,0,0.83,26.7
SKU-007723,Camiseta Maxi 40,APPAREL,GlobalSupply,102.12,203.29,87,1,1,14,0.00,0.02,2025-11-10,2026-02-05,0,0.86,49.8
SKU-007725,Meia Gold 40,APPAREL,Stock Direct,15.77,27.85,18,12,54,5,1.72,2.24,2026-03-27,2026-03-11,0,1.22,43.4
SKU-007742,Tênis Plus M,APPAREL,Ponto Forte Atacadista,45.45,74.98,199,198,600,14,10.02,8.13,2026-03-28,2025-12-11,0,1.16,39.4
SKU-007749,Bermuda Master 38,APPAREL,Stock Direct,160.53,240.15,537,243,243,30,6.30,6.28,2026-03-29,2026-01-22,0,1.14,33.2
SKU-007761,Bermuda Silver P,APPAREL,Aliança Comércio,176.34,308.75,64,31,137,10,2.43,1.93,2026-03-31,2026-03-18,0,0.77,42.9
SKU-007762,Meia TopMark G,APPAREL,Casa & Lar Atacado,74.35,94.95,107,75,508,5,13.45,10.83,2026-03-24,2026-02-04,0,0.70,21.7
SKU-007766,Tênis Fresh P,APPAREL,Stock Direct,160.25,201.06,371,362,688,21,11.50,10.03,2026-03-28,2026-03-02,1,0.96,20.3
SKU-007769,Camiseta Pro 42,APPAREL,Distribuidora Central,39.48,54.36,81,80,282,7,8.26,9.09,2026-03-30,2025-11-20,0,1.23,27.4
SKU-007770,Bermuda Plus M,APPAREL,Comercial Vitória,27.67,65.43,88,60,444,5,11.01,9.46,2026-03-25,2026-01-16,0,0.78,57.7
SKU-007796,Bermuda Nordeste P,APPAREL,Casa & Lar Atacado,185.63,301.92,121,80,207,14,4.87,3.84,2026-03-31,2025-10-14,0,0.90,38.5
SKU-007810,Bermuda Aurora GG,APPAREL,VivaMais Distribuição,149.40,198.02,52,23,121,10,2.04,2.83,2026-03-28,2026-03-16,0,0.81,24.6
SKU-007829,Meia Vivace 40,APPAREL,TopParts Brasil,69.20,106.61,145,87,106,30,2.02,2.36,2026-03-26,2025-12-21,0,1.05,35.1
SKU-007831,Meia Plus P,APPAREL,Aliança Comércio,97.39,206.13,28,18,48,7,1.97,1.64,2026-03-25,2025-11-06,0,1.24,52.8
SKU-007852,Tênis Sul 40,APPAREL,Stock Direct,37.66,87.90,504,459,459,30,12.73,6.33,2026-03-25,2026-01-16,0,1.85,57.2
SKU-007859,Bermuda Pro M,APPAREL,Casa & Lar Atacado,188.15,355.77,15,14,109,5,1.92,2.20,2026-03-31,2025-10-23,0,0.92,47.1
SKU-007894,Camiseta Sul 38,APPAREL,Aliança Comércio,29.92,37.13,14,9,58,5,1.26,1.63,2026-03-26,2026-01-21,0,1.22,19.4
SKU-007904,Camiseta Fresh G,APPAREL,Comercial Vitória,45.09,64.38,16,9,21,14,0.51,0.55,2026-03-30,2026-03-18,0,0.79,30.0
SKU-007906,Meia Vita GG,APPAREL,Stock Direct,99.50,163.49,161,96,109,21,3.57,3.67,2026-03-26,2026-02-15,0,0.73,39.1
SKU-007912,Tênis Vivace GG,APPAREL,MaxiSuprimentos,18.92,40.03,59,23,164,7,2.96,2.70,2026-03-25,2026-01-29,5,0.76,52.7
SKU-007942,Meia Pro G,APPAREL,Casa & Lar Atacado,48.55,118.41,243,122,272,14,7.83,8.81,2026-03-30,2025-10-26,0,1.14,59.0
SKU-007951,Meia Mini G,APPAREL,Atacadão Nordeste,33.93,60.47,124,123,324,7,13.95,6.82,2026-03-25,2026-02-01,0,1.63,43.9
SKU-007965,Meia Vita 42,APPAREL,Casa & Lar Atacado,150.69,189.81,53,44,95,7,4.55,4.60,2026-03-24,2025-10-18,0,1.23,20.6
SKU-007981,Bermuda Maxi 38,APPAREL,Ponto Forte Atacadista,77.50,124.54,36,35,156,10,2.87,3.53,2026-03-25,2025-12-02,0,1.03,37.8
SKU-008007,Bermuda Gold G,APPAREL,Casa & Lar Atacado,145.86,205.83,157,68,236,7,7.73,6.70,2026-03-25,2026-02-11,0,0.76,29.1
SKU-008015,Meia Vita M,APPAREL,Indústria Reunidas,73.39,108.12,10,5,64,3,1.44,1.27,2026-03-31,2026-02-19,0,1.11,32.1
SKU-008019,Camiseta Original GG,APPAREL,GlobalSupply,32.91,48.64,18,14,74,7,1.90,2.62,2026-03-26,2025-12-14,0,0.84,32.3
SKU-008022,Camiseta Master 38,APPAREL,Indústria Reunidas,28.00,36.78,180,112,413,10,8.40,9.47,2026-03-31,2025-11-07,0,1.04,23.9
SKU-008035,Tênis PrimaCare GG,APPAREL,Ponto Forte Atacadista,62.39,102.65,138,77,361,7,8.36,8.77,2026-03-24,2025-12-22,0,0.84,39.2
SKU-008038,Meia Sul 42,APPAREL,VivaMais Distribuição,196.40,276.71,194,99,283,7,10.49,9.61,2026-03-24,2025-12-11,0,0.99,29.0
SKU-008047,Camiseta TopMark GG,APPAREL,Casa & Lar Atacado,52.70,67.88,545,277,277,30,7.59,6.40,2026-03-26,2026-03-18,1,1.00,22.4
SKU-008050,Bermuda Plus P,APPAREL,MaxiSuprimentos,99.64,145.88,6,5,16,7,0.54,0.51,2026-03-31,2026-03-21,0,0.81,31.7
SKU-008052,Camiseta Fresh G,APPAREL,Casa & Lar Atacado,83.39,116.64,210,134,355,14,6.58,7.44,2026-03-25,2026-03-11,0,0.90,28.5
SKU-008054,Tênis Gold P,APPAREL,Comercial Vitória,71.93,93.59,24,9,60,5,1.76,1.93,2026-03-24,2026-03-18,0,1.01,23.1
SKU-008060,Tênis Original 42,APPAREL,Distribuidora Central,189.45,516.16,48,25,78,7,2.47,2.33,2026-03-25,2025-10-05,0,1.10,63.3
SKU-008080,Bermuda Pro 38,APPAREL,Ponto Forte Atacadista,179.38,308.14,39,31,91,7,3.13,3.21,2026-03-31,2026-01-08,0,0.72,41.8
SKU-008102,Bermuda Mini 38,APPAREL,GlobalSupply,116.90,292.94,45,25,62,7,3.07,2.71,2026-03-26,2026-01-15,0,0.92,60.1
SKU-008109,Meia TopMark GG,APPAREL,Stock Direct,171.65,299.82,102,56,235,7,6.84,6.38,2026-03-29,2026-03-04,2,1.01,42.7
SKU-008130,Meia Fresh 42,APPAREL,PrimeFood Distribuidora,81.33,132.36,74,379,577,21,12.59,5.89,2026-03-31,2026-03-24,0,1.47,38.6
SKU-008136,Camiseta Premium 40,APPAREL,Comercial Vitória,133.87,166.33,143,1,1,14,0.00,0.27,2026-01-01,2025-12-08,2,1.17,19.5
SKU-008137,Meia Maxi 38,APPAREL,Atacadão Nordeste,15.52,21.23,14,302,786,21,21.22,10.83,2026-03-26,2025-11-01,5,0.83,26.9
SKU-008138,Camiseta Natural 38,APPAREL,Indústria Reunidas,195.99,478.64,122,63,106,21,2.28,2.55,2026-03-27,2025-10-02,0,0.93,59.1
SKU-008139,Tênis TopMark G,APPAREL,Casa & Lar Atacado,107.12,158.95,27,16,94,5,2.70,3.28,2026-03-26,2026-02-13,0,1.19,32.6
SKU-008140,Bermuda Master P,APPAREL,GlobalSupply,37.89,46.43,102,46,160,7,5.01,4.08,2026-03-26,2026-03-02,0,1.11,18.4
SKU-008142,Tênis Vivace 38,APPAREL,GlobalSupply,87.18,114.30,85,1,1,5,0.00,0.17,2025-09-24,2026-01-28,0,0.79,23.7
SKU-008148,Bermuda Natural P,APPAREL,Distribuidora Central,31.05,53.74,225,134,237,14,7.52,9.26,2026-03-27,2026-03-07,0,1.18,42.2
SKU-008153,Tênis Maxi 38,APPAREL,Indústria Reunidas,193.28,323.40,115,1,1,10,0.00,0.10,2026-02-25,,0,1.17,40.2
SKU-008160,Bermuda Fresh 40,APPAREL,Distribuidora Central,52.34,92.68,34,15,51,7,1.65,2.33,2026-03-25,2025-12-21,0,1.02,43.5
SKU-008171,Camiseta Natural 38,APPAREL,Casa & Lar Atacado,128.94,210.17,73,72,124,14,3.59,2.93,2026-03-27,2025-12-15,0,0.85,38.6
SKU-008173,Tênis Master G,APPAREL,PrimeFood Distribuidora,112.51,139.86,138,1,1,7,0.00,0.29,2025-09-23,2025-12-10,0,1.23,19.6
SKU-008174,Camiseta Maxi 40,APPAREL,TopParts Brasil,113.10,204.35,37,20,20,30,0.59,0.63,2026-03-26,2026-03-22,0,0.97,44.7
SKU-008186,Tênis Mini M,APPAREL,Comercial Vitória,121.76,273.99,120,56,424,5,8.50,8.82,2026-03-24,2026-02-09,0,1.15,55.6
SKU-008189,Bermuda Natural 40,APPAREL,Comercial Vitória,21.74,53.61,118,55,55,30,1.48,2.05,2026-03-28,2025-12-02,5,0.87,59.4
SKU-008197,Camiseta Original M,APPAREL,Atacadão Nordeste,117.61,191.19,89,88,219,7,9.58,8.40,2026-03-25,2026-02-11,0,0.81,38.5
SKU-008198,Bermuda Eco 38,APPAREL,Casa & Lar Atacado,21.82,38.85,40,37,287,7,4.83,3.96,2026-03-24,2025-11-27,0,0.78,43.8
SKU-008220,Meia Natural 40,APPAREL,Distribuidora Central,44.36,57.79,77,180,629,14,10.62,4.11,2026-03-25,2025-11-25,3,1.33,23.2
SKU-008233,Camiseta TopMark G,APPAREL,TopParts Brasil,116.17,308.31,201,131,537,10,9.79,11.53,2026-03-28,2025-10-28,0,1.09,62.3
SKU-008234,Meia Silver 42,APPAREL,Aliança Comércio,19.38,28.60,198,98,561,7,12.30,10.20,2026-03-27,2025-10-07,0,0.96,32.2
SKU-008238,Camiseta Eco P,APPAREL,Ponto Forte Atacadista,69.61,147.93,87,429,571,14,24.03,23.07,2026-03-27,2026-01-09,16,1.18,52.9
SKU-008239,Meia Gold GG,APPAREL,Aliança Comércio,116.15,181.48,13,7,51,5,1.08,1.12,2026-03-25,2025-12-12,2,0.86,36.0
SKU-008290,Tênis Nordeste P,APPAREL,TopParts Brasil,66.31,93.38,2,135,1659,5,36.86,18.22,2026-03-25,2026-01-08,0,1.14,29.0
SKU-008312,Bermuda Premium G,APPAREL,VivaMais Distribuição,187.81,238.16,38,22,111,5,3.44,2.65,2026-03-31,2026-02-21,0,1.13,21.1
SKU-008334,Bermuda Sul 42,APPAREL,PrimeFood Distribuidora,152.84,427.57,37,21,63,7,2.15,1.75,2026-03-30,2026-02-03,1,0.89,64.3
SKU-008343,Camiseta Sul P,APPAREL,Stock Direct,113.30,274.51,2514,732,1533,21,46.82,29.76,2026-03-31,2025-10-23,0,0.80,58.7
SKU-008345,Bermuda Vivace 40,APPAREL,Indústria Reunidas,179.15,492.50,36,22,69,10,1.66,1.65,2026-03-29,2025-12-22,5,0.87,63.6
SKU-008349,Camiseta Natural 42,APPAREL,Aliança Comércio,39.56,49.13,193,163,1350,10,27.99,13.42,2026-03-27,2025-10-10,21,1.13,19.5
SKU-008350,Tênis Master 40,APPAREL,Ponto Forte Atacadista,23.10,50.14,7,6,65,5,1.12,1.44,2026-03-30,2025-12-26,1,0.72,53.9
SKU-008363,Tênis Nordeste 42,APPAREL,VivaMais Distribuição,162.83,342.40,19,18,47,7,1.95,1.96,2026-03-26,2025-10-14,0,1.24,52.4
SKU-008379,Camiseta PrimaCare P,APPAREL,Aliança Comércio,66.56,186.74,104,63,63,21,2.30,2.55,2026-03-30,2025-11-19,0,1.07,64.4
SKU-008386,Tênis Silver M,APPAREL,Indústria Reunidas,72.84,150.89,36,30,47,14,1.69,1.55,2026-03-27,2025-11-29,0,1.24,51.7
SKU-008395,Bermuda Aurora 40,APPAREL,Casa & Lar Atacado,127.73,274.18,238,113,196,14,6.58,6.49,2026-03-31,2026-03-23,1,0.74,53.4
SKU-008403,Camiseta Premium P,APPAREL,Stock Direct,52.90,121.06,234,103,947,3,37.80,23.63,2026-03-28,2025-10-14,0,0.99,56.3
SKU-008408,Tênis Maxi 40,APPAREL,Indústria Reunidas,38.53,84.39,10,4,54,3,1.24,1.24,2026-03-30,2026-01-05,1,0.97,54.3
SKU-008416,Meia Master M,APPAREL,PrimeFood Distribuidora,130.55,283.77,15,12,57,5,1.82,1.84,2026-03-29,2026-01-18,0,0.97,54.0
SKU-008420,Tênis Maxi G,APPAREL,Stock Direct,20.73,58.82,119,53,237,10,4.17,3.51,2026-03-26,2026-03-05,1,0.81,64.8
SKU-008439,Meia Eco G,APPAREL,Aliança Comércio,193.10,404.67,193,133,253,10,10.37,8.71,2026-03-26,2025-11-17,0,0.97,52.3
SKU-008468,Meia Fresh G,APPAREL,Distribuidora Central,63.86,90.43,108,170,598,10,13.86,6.42,2026-03-24,2026-02-24,0,1.56,29.4
SKU-008471,Tênis Nordeste 40,APPAREL,PrimeFood Distribuidora,127.82,162.44,47,23,349,3,5.90,5.03,2026-03-29,2025-12-25,0,1.01,21.3
SKU-008496,Meia Nordeste P,APPAREL,Aliança Comércio,159.68,389.44,75,130,391,14,7.91,8.20,2026-03-25,2025-11-25,5,0.91,59.0
SKU-008520,Camiseta Gold 42,APPAREL,Ponto Forte Atacadista,158.18,199.00,91,1,1,21,0.00,0.01,2025-12-20,2026-01-01,1,0.83,20.5
SKU-008525,Tênis Master 40,APPAREL,Atacadão Nordeste,25.65,51.22,88,1,1,5,0.00,0.12,2025-11-10,,0,1.19,49.9
SKU-008530,Meia Mini GG,APPAREL,Casa & Lar Atacado,161.51,309.52,120,100,153,10,6.90,6.99,2026-03-24,2026-03-11,0,0.78,47.8
SKU-008539,Meia Nordeste M,APPAREL,TopParts Brasil,35.25,45.26,26,12,31,10,0.87,0.99,2026-03-25,2026-02-11,0,0.89,22.1
SKU-008542,Bermuda Plus M,APPAREL,VivaMais Distribuição,78.58,141.95,26,12,28,14,0.75,0.58,2026-03-31,2026-02-13,0,0.79,44.6
SKU-008543,Meia Master 40,APPAREL,TopParts Brasil,42.27,87.93,212,126,269,10,9.88,8.08,2026-03-29,2025-10-17,0,0.97,51.9
SKU-008564,Bermuda Gold M,APPAREL,Casa & Lar Atacado,67.43,98.43,181,80,80,21,3.22,2.71,2026-03-30,2025-10-28,1,0.83,31.5
SKU-008571,Meia Silver P,APPAREL,GlobalSupply,119.33,158.25,150,95,95,30,2.68,3.07,2026-03-29,2025-12-02,0,1.08,24.6
SKU-008587,Meia Fresh M,APPAREL,PrimeFood Distribuidora,191.30,395.41,90,223,223,21,7.90,8.96,2026-03-24,2026-03-22,0,0.74,51.6
SKU-008592,Tênis Pro 40,APPAREL,VivaMais Distribuição,183.73,225.65,33,18,65,5,2.99,2.35,2026-03-29,2025-11-25,0,1.23,18.6
SKU-008597,Bermuda Sul 40,APPAREL,Comercial Vitória,96.48,127.98,50,49,177,5,7.11,2.95,2026-03-27,2025-10-24,0,1.78,24.6
SKU-008598,Tênis Aurora 40,APPAREL,VivaMais Distribuição,28.68,35.66,1591,506,1443,14,58.07,29.60,2026-03-31,2026-02-15,0,0.71,19.6
SKU-008622,Meia Master G,APPAREL,VivaMais Distribuição,90.97,128.15,182,1,1,5,0.00,0.26,2026-01-15,2025-11-15,0,0.93,29.0
SKU-008626,Tênis Eco 38,APPAREL,Ponto Forte Atacadista,42.30,67.15,194,1,1,7,0.00,0.05,2026-01-24,,1,0.88,37.0
SKU-008630,Meia Silver M,APPAREL,MaxiSuprimentos,20.33,57.54,190,122,541,7,13.82,10.65,2026-03-28,2025-12-14,0,0.78,64.7
SKU-008631,Tênis PrimaCare 42,APPAREL,VivaMais Distribuição,97.92,201.48,23,20,43,14,1.00,1.08,2026-03-26,2025-10-28,0,0.98,51.4
SKU-008656,Tênis Vivace 42,APPAREL,Atacadão Nordeste,99.26,144.87,45,44,395,5,6.86,3.41,2026-03-29,2025-10-03,0,1.31,31.5
SKU-008657,Tênis Mini P,APPAREL,TopParts Brasil,170.89,370.91,14,204,512,10,15.31,14.71,2026-03-26,2025-12-10,0,1.05,53.9
SKU-008661,Meia Pro 38,APPAREL,PrimeFood Distribuidora,25.04,33.26,47,19,96,7,2.37,2.04,2026-03-28,2026-01-26,0,0.75,24.7
SKU-008665,Tênis Aurora M,APPAREL,Stock Direct,59.56,99.00,80,53,107,14,2.61,3.15,2026-03-26,2025-11-09,0,0.99,39.8
SKU-008669,Tênis Vita G,APPAREL,VivaMais Distribuição,73.11,135.64,138,85,395,5,12.26,12.00,2026-03-27,2025-10-06,0,0.88,46.1
SKU-008682,Tênis Original M,APPAREL,TopParts Brasil,68.85,121.68,56,36,172,7,4.76,4.77,2026-03-24,2025-10-26,0,0.71,43.4
SKU-008698,Bermuda Plus G,APPAREL,Stock Direct,103.44,152.98,292,119,214,14,7.51,6.62,2026-03-25,2025-11-12,5,1.19,32.4
SKU-008718,Meia Maxi P,APPAREL,GlobalSupply,174.48,242.86,62,31,206,7,3.79,3.07,2026-03-26,2026-03-18,0,0.82,28.2
SKU-008719,Camiseta Maxi P,APPAREL,Indústria Reunidas,87.08,144.12,199,79,899,5,21.89,14.36,2026-03-28,2026-01-29,1,1.04,39.6
SKU-008724,Camiseta Gold 40,APPAREL,Indústria Reunidas,78.75,154.70,26,25,97,10,1.95,1.74,2026-03-31,2025-11-05,0,1.03,49.1
SKU-008734,Tênis Fresh P,APPAREL,Comercial Vitória,17.63,27.66,11,9,52,7,1.18,1.40,2026-03-30,2026-02-06,0,1.10,36.3
SKU-008739,Meia Mini G,APPAREL,TopParts Brasil,70.68,180.42,32,31,177,3,7.74,7.73,2026-03-30,2026-02-19,0,0.85,60.8
SKU-008749,Camiseta Sul G,APPAREL,Ponto Forte Atacadista,35.40,65.03,108,1,1,5,0.00,0.04,2025-09-05,,0,0.76,45.6
SKU-008750,Camiseta PrimaCare 42,APPAREL,Aliança Comércio,195.79,263.45,22,213,405,21,7.72,3.06,2026-03-30,2025-11-18,0,1.69,25.7
